Hour,Day,Month,Year,Energy,Cloud Coverage,Visibility,Temperature,Dew Point,Relative Humidity,Wind Speed,Station Pressure,Altimeter
8,19,4,2017,0,0,10,21.37,17.01,21.89,14,8.53,30.07
10,26,6,2016,3063,0.69,10,29.77,24.05,73.68,6.44,29.27,30.06
11,1,5,2016,980.75,1,5.72,14.67,12.86,90.12,6.92,29.17,29.96
13,17,5,2016,1416.75,1,10,14.3,8.67,64.56,6.52,29.39,30.19
14,28,9,2017,4045.25,0,10,22.54,9.93,43.84,8,29.35,30.14
11,30,3,2017,939,1,6.95,15.55,13.89,92.15,12.18,28.79,29.57
8,8,8,2016,1762.75,0.44,10,22.62,18.92,79.22,6.89,29.24,30.03
12,19,2,2016,2660.5,0.38,10,16.59,10.37,66.52,28.64,28.92,29.71
14,29,6,2017,1406,0.01,10,30.57,17.49,42.88,15.96,29.09,29.88
6,29,2,2016,85.79,0,10,-0.61,-1.05,89.96,7.4,29.18,29.97
11,8,4,2016,1564.75,1,10,5.62,2.83,77.35,22.88,29.07,29.87
11,19,6,2016,3707.5,0,10,29.09,19.4,55,5,29.42,30.25
7,2,9,2017,686.5,0,10,11.76,8.66,76.8,8.6,29.28,30.07
13,4,4,2017,1513.25,1,10,12.86,9.91,85.05,10.07,29.03,29.82
15,15,11,2016,714,0,10,14.42,7.18,59.36,8.12,29.11,29.9
8,14,9,2017,657.5,1,5.79,18.16,17.63,93.22,0,29.13,29.93
6,26,8,2017,52.99,0,10,14.92,12.04,81.92,5.68,29.46,30.26
16,8,5,2016,1714.75,0.83,10,17.83,10.79,61.44,3.08,29.16,29.95
11,7,10,2016,2603,0.53,10,23.2,15.42,60.48,12.52,29.31,30.1
13,7,1,2017,1623.25,0.44,10,-7.48,-12.01,66.73,13.23,29.72,30.52
15,14,10,2017,1832,0.44,10,29.11,20.11,58.6,13.28,29.12,29.91
15,2,7,2017,1304,0.42,10,30.56,16.92,41.56,7.68,29.27,30.06
7,3,9,2016,631,0,10,16.77,14.5,85.92,6.8,29.42,30.22
14,22,7,2017,3927.5,0.56,10,30.86,24.8,70,8,29.04,29.83
14,9,4,2016,4695.75,0,10,3.91,-7.99,40.92,3.32,29.43,30.23
11,18,9,2017,3143.25,0.41,10,27,19.83,64.8,1.92,29.28,30.07
11,26,8,2016,3335,0.43,10,27.69,22.95,74.44,5.44,29.34,30.14
16,7,5,2017,3189.25,0,10,17.51,0.67,32,11.08,29.22,30.01
17,17,9,2017,162.18,1,10,24.74,17.72,62.88,7.08,29.28,30.07
10,13,5,2017,4220,0,10,21.68,10.41,47.2,7.12,29.17,29.96
13,1,10,2016,3695.75,0.98,10,19.68,14.93,78.49,6,29.2,29.99
8,5,9,2017,1957.25,0,10,16.66,10.58,67.24,14.16,29.15,29.94
6,26,6,2016,385,0,9.96,23.88,22.41,88.2,6.76,29.27,30.06
15,5,9,2017,3136.75,0.63,10,21.2,8.3,43.12,13.4,29.14,29.93
10,25,6,2017,1459,0.42,10,22.41,9.18,42.16,15.48,29.37,30.17
15,11,10,2017,257.25,1,2.42,15.58,15.16,98.92,5.53,29.3,30.1
17,29,6,2016,1807.25,0,10,24.15,10.41,20.67,4.72,8.53,30.08
15,26,5,2016,2238.25,0,10,26.98,19.48,60.16,14.44,29.11,29.9
15,7,7,2016,3683.25,0,10,28.47,22.88,69.76,13.18,29,29.79
16,30,9,2016,451.5,0.11,9.44,18.79,16.49,27.51,11.86,10.04,30.01
9,12,5,2016,887.25,1,6.96,19.3,18.29,90.96,11.84,29.19,29.98
8,8,7,2017,2202.5,0.15,10,23.86,18,72.4,7.76,29.26,30.05
17,1,2,2016,9.13,0,10,5.86,0.44,64.64,3.16,29.26,30.05
10,25,8,2016,3687.75,0.8,10,26.56,22.52,78.92,8.96,29.3,30.09
17,24,11,2016,0,1,7.88,3.87,2.44,87.76,8.24,29.44,30.24
10,1,3,2017,453,1,7.08,6.79,5.62,87.51,28.89,28.88,29.67
10,19,6,2017,1377.75,0.43,10,25.46,14.23,49.24,16.68,29.12,29.91
6,4,2,2016,0,1,10,-4.76,-7.75,75.92,13.68,29.42,30.22
8,10,5,2016,671.75,0.99,10,17.98,16.59,91.61,13.53,29.07,29.87
11,29,11,2016,3277.5,0,10,12.87,9.38,76.16,14.72,28.81,29.59
